# Region type : patch inlet
# Faces         : 30
# Area          : 2.97167293e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
0.000304264     	-3.95139887e-04
0.000304907     	-3.95139887e-04
0.000305545     	-3.95139887e-04
0.000306179     	-3.95139887e-04
0.000306809     	-3.95139887e-04
0.000307434     	-3.95139887e-04
0.000308056     	-3.95139887e-04
0.000308677     	-3.95139887e-04
0.000309298     	-3.95139887e-04
0.000309915     	-3.95139887e-04
0.000310532     	-3.95139887e-04
0.000311149     	-3.95139887e-04
0.000311766     	-3.95139887e-04
0.000312383     	-3.95139887e-04
0.000313004     	-3.95139887e-04
0.00031363      	-3.95139887e-04
0.000314256     	-3.95139887e-04
0.000314887     	-3.95139887e-04
0.000315522     	-3.95139887e-04
0.000316162     	-3.95139887e-04
0.000316807     	-3.95139887e-04
0.000317457     	-3.95139887e-04
0.000318112     	-3.95139887e-04
0.000318778     	-3.95139887e-04
0.000319454     	-3.95139887e-04
0.000320137     	-3.95139887e-04
0.000320831     	-3.95139887e-04
0.000321514     	-3.95139887e-04
0.000322191     	-3.95139887e-04
0.000322856     	-3.95139887e-04
0.000323515     	-3.95139887e-04
0.000324169     	-3.95139887e-04
0.000324817     	-3.95139887e-04
0.000325459     	-3.95139887e-04
0.000326097     	-3.95139887e-04
0.000326734     	-3.95139887e-04
0.000327365     	-3.95139887e-04
0.000327991     	-3.95139887e-04
0.000328618     	-3.95139887e-04
0.000329244     	-3.95139887e-04
0.00032987      	-3.95139887e-04
0.000330496     	-3.95139887e-04
